term,estimate,std.error,statistic,p.value
(Intercept),-118.66443008798194,133.34851324844536,-0.8898819131706022,0.3925755993967761
length,3.08759501517934,1.7108763833770586,1.8046862094646539,0.09854204149751879
r_fin,294.60350115179887,206.42007815278956,1.4272037090003282,0.18128639325762314
longevity_wild,1.7683627577914156,4.238371276333336,0.4172269587767797,0.6845392661802748
temp_preferred,4.482852115486932,4.959254938770395,0.9039366136314051,0.3853978709208724
length:r_fin,-7.827842458586547,4.841372351009703,-1.6168643704824717,0.13419964848548996
length:longevity_wild,-0.07788374299611159,0.06255108406839348,-1.245122193421194,0.23895897390876247
r_fin:longevity_wild,-3.3360664966577347,9.767045461500908,-0.3415635270469069,0.7391152033707777
length:temp_preferred,-0.1224643843201938,0.06752327489982093,-1.8136618003478762,0.09707516590505412
r_fin:temp_preferred,-11.941716422785294,7.811442203144124,-1.5287466913572918,0.15455948039537284
longevity_wild:temp_preferred,-0.043200131429633006,0.16368389161656557,-0.2639241467378513,0.796717417904426
length:r_fin:longevity_wild,0.18661392397254353,0.17250838075242056,1.081767292456167,0.3025007246964281
length:r_fin:temp_preferred,0.3204312101382957,0.19018293039973044,1.6848578863771144,0.12014248120215806
length:longevity_wild:temp_preferred,0.0028762267903452363,0.002356965218334783,1.220309391064038,0.24786291587319945
r_fin:longevity_wild:temp_preferred,0.0675528500536125,0.3794870082981857,0.1780109689566294,0.8619502243005948
length:r_fin:longevity_wild:temp_preferred,-0.007007738315915388,0.0064862553910914915,-1.080398148605145,0.30308338409954116
