genus,species
Brachyistius,Brachyistius frenatus
Hyperprosopon,Hyperprosopon argenteum
Oxyjulis,Oxyjulis californica
Phanerodon,Phanerodon furcatus
Sebastes,Sebastes paucispinis
Paralabrax,Paralabrax clathratus
Atherinopsidae,Atherinopsidae
Sebastes,Sebastes atrovirens
Sebastes,Sebastes caurinus
Syngnathus,
Sebastes,
Chromis,Chromis punctipinnis
Girella,Girella nigricans
Rhacochilus,Rhacochilus toxotes
Sebastes,Sebastes mystinus
Semicossyphus,Semicossyphus pulcher
Sebastes,Sebastes miniatus
Bothidae,
Embiotoca,Embiotoca jacksoni
Embiotocidae,
Hypsurus,Hypsurus caryi
Halichoeres,Halichoeres semicinctus
Rhacochilus,Rhacochilus vacca
Heterostichus,Heterostichus rostratus
Trachurus,Trachurus symmetricus
Medialuna,Medialuna californiensis
Scorpaena,Scorpaena guttata
Hypsypops,Hypsypops rubicundus
Sebastes,Sebastes rastrelliger
Cymatogaster,Cymatogaster aggregata
Sebastes,Sebastes serranoides
Sebastes,Sebastes flavidus
Clinidae,
Sebastes,Sebastes atrovirens
Sebastes,Sebastes carnatus
Sebastes,Sebastes chrysomelas
Sebastes,Sebastes caurinus
Hyperprosopon,Hyperprosopon anale
Hexagrammos,Hexagrammos decagrammus
Ophiodon,Ophiodon elongatus
Sebastes,Sebastes chrysomelas
Citharichthys,
Scorpaenichthys,Scorpaenichthys marmoratus
Sebastes,Sebastes auriculatus
Cottidae,
Oxylebius,Oxylebius pictus
Sebastes,Sebastes carnatus
Sebastes,Sebastes melanops
Sebastes,Sebastes entomelas
Hyperprosopon,Hyperprosopon ellipticum
Chitonotus,Chitonotus pugetensis
Citharichthys,Citharichthys stigmaeus
Neoclinus,Neoclinus uninotatus
Aulorhynchus,Aulorhynchus flavidus
Embiotoca,Embiotoca lateralis
Citharichthys,Citharichthys sordidus
Caulolatilus,Caulolatilus princeps
Alloclinus,Alloclinus holderi
Sebastes,Sebastes serriceps
Heterodontus,Heterodontus francisci
Lythrypnus,Lythrypnus dalli
Balistes,Balistes polylepis
Myliobatis,Myliobatis californica
Pleuronectidae,Pleuronectidae
Paralabrax,Paralabrax nebulifer
Mugil,Mugil cephalus
Rhinogobiops,Rhinogobiops nicholsii
Clupeiformes,Clupeiformes
Hexagrammos,Hexagrammos lagocephalus
Sebastes,Sebastes serranoides
Sebastes,Sebastes flavidus
Sebastes,Sebastes melanops
Anarrhichthys,Anarrhichthys ocellatus
Cheilotrema,Cheilotrema saturnum
Seriola,Seriola lalandi
Rathbunella,Rathbunella hypoplecta
Cephaloscyllium,Cephaloscyllium ventriosum
Sebastes,Sebastes pinniger
Alopias,Alopias vulpinus
Sphyraena,Sphyraena argentea
Sebastes,Sebastes diploproa
Sebastes,Sebastes chrysomelas
Sebastes,Sebastes carnatus
Engraulis,Engraulis mordax
Prionace,Prionace glauca
Sebastes,Sebastes nebulosus
Tetronarce,Tetronarce californica
Triakis,Triakis semifasciata
Anisotremus,Anisotremus davidsonii
Pleuronichthys,Pleuronichthys coenosus
Stereolepis,Stereolepis gigas
Paralichthys,Paralichthys californicus
Gymnothorax,Gymnothorax mordax
Gibbonsia,
Leiocottus,Leiocottus hirundo
Liparis,Liparis mucosus
Sardinops,Sardinops sagax
Scomber,Scomber japonicus
Neoclinus,Neoclinus stephensae
Galeorhinus,Galeorhinus galeus
Platyrhinoidis,Platyrhinoidis triseriata
Paralabrax,Paralabrax maculatofasciatus
Phanerodon,Phanerodon atripes
Ulvicola,Ulvicola sanctaerosae
Lethops,Lethops connectens
Pholidae,
Prognathodes,Prognathodes falcifer
Mola,Mola mola
Porichthys,Porichthys notatus
Synodus,Synodus lucioceps
Sarda,Sarda chiliensis
Sebastes,Sebastes rubrivinctus
Squatina,Squatina californica
Atractoscion,Atractoscion nobilis
Sebastes,Sebastes hopkinsi
Sebastes,Sebastes saxicola
Sebastes,Sebastes semicinctus
Sebastes,Sebastes rosaceus
Anoplagonus,Anoplagonus inermis
Squalus,Squalus acanthias
Neoclinus,Neoclinus blanchardi
Sebastes,Sebastes dallii
Micrometrus,Micrometrus minimus
Bathymasteridae,Bathymasteridae
Cebidichthys,Cebidichthys violaceus
Hermosilla,Hermosilla azurea
Pseudobatos,Pseudobatos productus
Sebastes,Sebastes caurinus
Sebastes,Sebastes carnatus
Hexanchus,Hexanchus griseus
Haemulon,Haemulon californiensis
Orthonopias,Orthonopias triacis
Artedius,Artedius corallinus
